A̱o,Marca,Modelo,Color,Precio
2020,Toyota,Corolla,Blanco,25000.00
2019,Honda,Civic,Azul,22000.00
2018,Ford,Focus,Gris,20000.00
2021,Chevrolet,Cruze,Rojo,26000.00
2017,Volkswagen,Jetta,Negro,18000.00
2019,BMW,Serie 3,Plata,35000.00
2018,Mercedes-Benz,Clase C,Azul,38000.00
2020,Audi,A4,Blanco,40000.00
2018,Hyundai,Elantra,Gris,19000.00
2019,Kia,Forte,Amarillo,21000.00
2017,Nissan,Altima,Blanco,20000.00
2019,Subaru,Impreza,Azul,23000.00
2020,Mazda,Mazda3,Plata,24000.00
2021,Tesla,Model 3,Negro,45000.00
2018,Fiat,500,Rojo,15000.00
